Regional Agency for Environment Protection - Friuli Venezia Giulia Region (ARPA FVG) 
www.arpa.fvg.it 
Regional Center for Environmental Modelling (CRMA) 
via Cairoli, 14 - 33057 Palmanova (UD) ITALY 
Created on 2008-02-25 09:32:27 by FVG_DEM_Reader.r on 05ACEVER3194 Windows x86 machine 
Proj: UTM ; Datum: Rome Monte Mario 1940 ; Essipsoid: International 1924   Grid: 330 x 283 points ; Step 0.01 km ; Origin: ( 399.146 , 5047.508 ) km 
km;km;m
east;north;elevation
399.146;5047.508;-9999
399.156;5047.508;-9999
399.166;5047.508;-9999
399.176;5047.508;-9999
399.186;5047.508;-9999
399.196;5047.508;-9999
399.206;5047.508;-9999
399.216;5047.508;-9999
399.226;5047.508;-9999
399.236;5047.508;-9999
399.246;5047.508;-9999
399.256;5047.508;-9999
399.266;5047.508;-9999
399.276;5047.508;-9999
399.286;5047.508;-9999
399.296;5047.508;-9999
399.306;5047.508;-9999
399.316;5047.508;-9999
399.326;5047.508;-9999
399.336;5047.508;-9999
399.346;5047.508;-9999
399.356;5047.508;-9999
399.366;5047.508;-9999
399.376;5047.508;-9999
399.386;5047.508;-9999
399.396;5047.508;-9999
399.406;5047.508;-9999
399.416;5047.508;-9999
399.426;5047.508;-9999
399.436;5047.508;-9999
399.446;5047.508;-9999
399.456;5047.508;-9999
399.466;5047.508;-9999
399.476;5047.508;-9999
399.486;5047.508;-9999
399.496;5047.508;-9999
399.506;5047.508;-9999
399.516;5047.508;-9999
399.526;5047.508;-9999
399.536;5047.508;-9999
399.546;5047.508;-9999
399.556;5047.508;-9999
399.566;5047.508;-9999
399.576;5047.508;-9999
399.586;5047.508;-9999
399.596;5047.508;-9999
399.606;5047.508;-9999
399.616;5047.508;-9999
399.626;5047.508;-9999
399.636;5047.508;-9999
399.646;5047.508;-9999
399.656;5047.508;-9999
399.666;5047.508;-9999
399.676;5047.508;-9999
399.686;5047.508;-9999
399.696;5047.508;-9999
399.706;5047.508;-9999
399.716;5047.508;-9999
399.726;5047.508;-9999
399.736;5047.508;-9999
399.746;5047.508;-9999
399.756;5047.508;-9999
399.766;5047.508;-9999
