Regional Agency for Environment Protection - Friuli Venezia Giulia Region (ARPA FVG) 
www.arpa.fvg.it 
Regional Center for Environmental Modelling (CRMA) 
via Cairoli, 14 - 33057 Palmanova (UD) ITALY 
Created on 2008-02-25 09:33:37 by FVG_DEM_Reader.r on 05ACEVER3194 Windows x86 machine 
Proj: UTM ; Datum: Rome Monte Mario 1940 ; Essipsoid: International 1924   Grid: 329 x 282 points ; Step 0.01 km ; Origin: ( 408.9 , 5047.363 ) km 
km;km;m
east;north;elevation
408.9;5047.363;-9999
408.91;5047.363;-9999
408.92;5047.363;-9999
408.93;5047.363;-9999
408.94;5047.363;-9999
408.95;5047.363;-9999
408.96;5047.363;-9999
408.97;5047.363;-9999
408.98;5047.363;-9999
408.99;5047.363;-9999
409;5047.363;-9999
409.01;5047.363;-9999
409.02;5047.363;-9999
409.03;5047.363;-9999
409.04;5047.363;-9999
409.05;5047.363;-9999
409.06;5047.363;-9999
409.07;5047.363;-9999
409.08;5047.363;-9999
409.09;5047.363;-9999
409.1;5047.363;-9999
409.11;5047.363;-9999
409.12;5047.363;-9999
409.13;5047.363;-9999
409.14;5047.363;-9999
409.15;5047.363;-9999
409.16;5047.363;-9999
409.17;5047.363;-9999
409.18;5047.363;-9999
409.19;5047.363;-9999
409.2;5047.363;-9999
409.21;5047.363;-9999
409.22;5047.363;-9999
409.23;5047.363;-9999
409.24;5047.363;-9999
409.25;5047.363;-9999
409.26;5047.363;-9999
409.27;5047.363;-9999
409.28;5047.363;-9999
409.29;5047.363;-9999
409.3;5047.363;-9999
409.31;5047.363;-9999
409.32;5047.363;-9999
409.33;5047.363;-9999
409.34;5047.363;-9999
409.35;5047.363;-9999
409.36;5047.363;-9999
409.37;5047.363;-9999
409.38;5047.363;-9999
409.39;5047.363;-9999
409.4;5047.363;-9999
409.41;5047.363;-9999
409.42;5047.363;-9999
409.43;5047.363;-9999
409.44;5047.363;-9999
409.45;5047.363;-9999
409.46;5047.363;-9999
409.47;5047.363;-9999
