Regional Agency for Environment Protection - Friuli Venezia Giulia Region (ARPA FVG) 
www.arpa.fvg.it 
Regional Center for Environmental Modelling (CRMA) 
via Cairoli, 14 - 33057 Palmanova (UD) ITALY 
Created on 2008-02-25 10:04:25 by FVG_DEM_Reader.r on 05ACEVER3194 Windows x86 machine 
Proj: UTM ; Datum: Rome Monte Mario 1940 ; Essipsoid: International 1924   Grid: 329 x 283 points ; Step 0.01 km ; Origin: ( 399.325 , 5058.618 ) km 
km;km;m
east;north;elevation
401.585;5058.618;-9999
401.595;5058.618;-9999
401.605;5058.618;-9999
401.615;5058.618;-9999
401.625;5058.618;-9999
401.635;5058.618;-9999
401.645;5058.618;-9999
401.655;5058.618;-9999
401.665;5058.618;-9999
401.675;5058.618;-9999
401.685;5058.618;-9999
401.695;5058.618;-9999
401.705;5058.618;-9999
401.715;5058.618;-9999
401.725;5058.618;-9999
401.735;5058.618;-9999
401.745;5058.618;-9999
401.755;5058.618;-9999
401.765;5058.618;-9999
401.775;5058.618;-9999
401.785;5058.618;-9999
401.795;5058.618;-9999
401.805;5058.618;-9999
401.815;5058.618;-9999
401.825;5058.618;-9999
401.835;5058.618;-9999
401.845;5058.618;-9999
401.855;5058.618;-9999
401.865;5058.618;-9999
401.875;5058.618;-9999
401.885;5058.618;-9999
401.895;5058.618;-9999
401.905;5058.618;-9999
401.915;5058.618;-9999
401.925;5058.618;-9999
401.935;5058.618;-9999
401.945;5058.618;-9999
401.955;5058.618;-9999
401.965;5058.618;-9999
401.975;5058.618;-9999
401.985;5058.618;-9999
401.995;5058.618;-9999
402.005;5058.618;-9999
402.015;5058.618;-9999
402.025;5058.618;-9999
402.035;5058.618;-9999
402.045;5058.618;-9999
402.055;5058.618;-9999
402.065;5058.618;-9999
402.075;5058.618;-9999
402.085;5058.618;-9999
402.095;5058.618;-9999
402.105;5058.618;-9999
402.115;5058.618;-9999
402.125;5058.618;-9999
402.135;5058.618;-9999
402.145;5058.618;-9999
402.155;5058.618;-9999
