GEO.DAT         2.1             Header structure with coordinate parameters                     
   2
Produced by MAKEGEO Version: 3.11  Level: 100301                                
5/19/2014                                                
UTM     
  33N   
WGS-84  02-21-2003  
      37      33     385.000    5041.000       1.000       1.000
KM  M   
 1          - LAND USE DATA - (1=new categories)
   14  50  55 - NLU, IWAT1, IWAT2
   10  20 -20  30  40  51  54  55  60  61  62  70  80  90
     20,     20,     20,     20,     20,     20,     20,     20,     20,     20,
     20,     20,     70,     70,     20,     70,     20,     70,     20,     20,
     20,     70,     70,     70,     70,     70,     70
 1.0000  - TERRAIN heights - HTFAC (Conversion to meters)                        
   4.20,   8.20,  29.70,  32.20,  32.20, 100.40, 105.90, 106.80, 119.60, 106.60, 114.60, 111.80, 114.00, 148.10, 195.80, 226.80, 248.70, 254.30, 235.20, 232.50, 267.90, 276.70, 284.60, 279.20, 294.40, 290.40, 262.10, 269.30, 244.80, 284.20, 278.30, 298.60, 225.60, 159.30, 143.30, 217.80, 600.40
   1.50,   2.20,   2.00,   1.80,   8.30,  62.40, 145.90, 204.70, 230.60, 175.90, 187.20, 185.10, 169.60, 131.40, 164.80, 221.10, 254.80, 241.10, 214.80, 234.70, 257.00, 269.20, 260.50, 268.20, 282.30, 295.20, 324.80, 278.10, 408.70, 459.90, 385.50, 457.40, 329.00, 291.10, 180.90, 227.80, 413.50
   1.40,   1.30,   1.20,   3.00,   2.20,  20.10, 155.30, 230.30, 178.20, 149.40, 174.90, 186.90, 207.40, 175.50, 153.50, 182.50, 212.90, 236.50, 250.40, 242.40, 248.90, 248.70, 256.90, 257.40, 276.00, 292.30, 342.10, 357.40, 297.80, 400.20, 507.30, 547.10, 499.90, 431.20, 249.60, 199.70, 254.80
   1.80,   0.10,   0.00,   1.10,   0.30,  15.20,  66.70, 107.50, 116.60, 124.20, 172.90, 205.00, 212.50, 210.20, 171.00, 174.10, 198.10, 251.30, 284.90, 268.70, 260.20, 255.00, 263.90, 268.50, 275.00, 290.40, 318.60, 363.10, 361.40, 292.70, 385.80, 485.20, 522.80, 469.30, 319.60, 316.50, 258.80
   0.50,   0.00,   0.00,   0.00,   0.00,   0.00,   6.80,  24.30,  31.00,  91.10, 124.20, 178.50, 227.90, 237.10, 261.30, 240.40, 205.00, 211.00, 239.80, 253.20, 264.40, 267.00, 276.80, 281.20, 283.60, 288.30, 301.60, 337.20, 352.10, 344.80, 312.60, 393.40, 467.40, 501.00, 482.50, 475.50, 400.80
   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.00,   0.20,  79.20, 119.60, 133.10, 186.40, 238.80, 250.40, 304.00, 293.90, 260.00, 260.10, 252.20, 241.80, 246.50, 270.10, 282.10, 286.80, 310.70, 307.90, 318.10, 325.40, 338.10, 348.80, 350.80, 466.30, 546.50, 547.80, 572.50, 541.10
